Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100202-dabb6df2b9
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.dabb6df2b9
GemmStridedBatchedTunableOp_float_NN,nn_256_50_866_B_8_ld_256_866_256,Gemm_Rocblas_-1140857261,0.0383863
GemmStridedBatchedTunableOp_float_NN,nn_256_816_816_B_8_ld_256_816_256,Gemm_Rocblas_-1140856961,0.156853
GemmStridedBatchedTunableOp_float_TN,tn_866_50_256_B_8_ld_256_2048_866,Gemm_Rocblas_-1140855995,0.0327279
GemmStridedBatchedTunableOp_float_TN,tn_816_816_256_B_8_ld_256_2048_816,Gemm_Rocblas_-1140856004,0.161767
GemmTunableOp_float_TN,tn_1024_50_4096_ld_4096_4096_1024,Gemm_Rocblas_-1140856086,0.0783238
GemmTunableOp_float_TN,tn_4096_50_1024_ld_1024_1024_4096,Gemm_Rocblas_-1140856199,0.0662634
GemmTunableOp_float_TN,tn_1024_50_2048_ld_2048_2048_1024,Gemm_Rocblas_-1140856076,0.0491358
GemmTunableOp_float_TN,tn_256_50_1024_ld_1024_1024_256,Gemm_Rocblas_-1140856161,0.0256863
GemmTunableOp_float_TN,tn_2048_50_1024_ld_1024_1024_2048,Gemm_Rocblas_-1140856204,0.0442099
GemmTunableOp_float_TN,tn_2048_816_16384_ld_16384_16384_2048,Gemm_Rocblas_-1140855977,2.79786
GemmTunableOp_float_TN,tn_16384_816_2048_ld_2048_2048_16384,Gemm_Rocblas_-1140855949,2.43565
GemmTunableOp_float_TN,tn_256_816_2048_ld_2048_2048_256,Gemm_Rocblas_-1140856077,0.0949085
GemmTunableOp_float_TN,tn_2048_816_2048_ld_2048_2048_2048,Gemm_Rocblas_-1140856004,0.388298
GemmTunableOp_float_NN,nn_50_128_1_ld_50_1_50,Gemm_Rocblas_-1140857059,0.00936837
GemmTunableOp_float_NN,nn_816_128_1_ld_816_1_816,Gemm_Rocblas_-1140857125,0.00993557
GemmAndBiasTunableOp_float_TN,tn_3072_1_1024_ld_1024_1024_3072,Gemm_Hipblaslt_1221,0.0449226
GemmAndBiasTunableOp_float_TN,tn_2048_256_1152_ld_1152_1152_2048,Gemm_Hipblaslt_1220,0.307123
GemmAndBiasTunableOp_float_TN,tn_1152_256_4304_ld_4304_4304_1152,Gemm_Hipblaslt_1220,0.640561
GemmAndBiasTunableOp_float_TN,tn_1024_1_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1221,0.0413267
GemmAndBiasTunableOp_float_TN,tn_4304_256_1152_ld_1152_1152_4304,Gemm_Hipblaslt_1220,0.588265
GemmAndBiasTunableOp_float_TN,tn_32_50_1024_ld_1024_1024_32,Gemm_Hipblaslt_1221,0.0408815
GemmAndBiasTunableOp_float_TN,tn_1024_50_32_ld_32_32_1024,Gemm_Hipblaslt_1219,0.0135403
GemmAndBiasTunableOp_float_TN,tn_1152_256_1152_ld_1152_1152_1152,Gemm_Hipblaslt_1220,0.18531
